driver,partner,mode,known,trust_tier,sanger_n_mut,sanger_n_wt,sanger_delta,sanger_p,sanger_fdr,sanger_d,L1_cohens_d_discovery,L1_fdr_discovery,sign_concordant,sanger_status,sanger_replicated
BRAF,MAPK1,ACT,,T1_clinically_anchored,18,293,-0.2819619917935567,3.1025555013103194e-06,2.6371721761137716e-05,-1.3362213109283436,-1.7787544796402963,1.1090740045432946e-14,True,tested,True
BRAF,MAP2K1,ACT,,T1_clinically_anchored,18,293,-0.3312029680202432,2.193088119264918e-06,2.6371721761137716e-05,-1.84486116720533,-1.5228493381099943,1.8928377438315623e-11,True,tested,True
KRAS,CTNNB1,ACT,0.0,T3_reproduced_not_druggable,65,246,-0.17296083934891315,0.023007418161262616,0.034511127241893924,-0.47014111965353284,-0.8473510101497104,9.849947964042759e-11,True,tested,True
KRAS,TCF7L2,ACT,0.0,T3_reproduced_not_druggable,65,246,-0.11841723284327975,0.01065802717828981,0.02013182911454742,-0.5278814879723223,-0.8718570399942214,4.664018442354051e-10,True,tested,True
KRAS,RAF1,ACT,0.0,T1_clinically_anchored,65,246,-0.10647558963196058,0.0028100019755789487,0.006230873945848973,-0.5069256000772948,-0.774596847963659,9.137605589486792e-10,True,tested,True
EP300,CREBBP,LOF,,T3_reproduced_not_druggable,41,270,-0.24176175419803853,0.00013663360447249129,0.000580692819008088,-0.8850867789314284,-0.948191765118978,8.039069504951484e-09,True,tested,True
NRAS,SHOC2,ACT,,T3_reproduced_not_druggable,13,298,-0.42262107831532825,2.624088026171648e-06,2.6371721761137716e-05,-1.9399528402006947,-1.5143565419782443,8.039069504951484e-09,True,tested,True
MTAP,PRMT5,CN_loss,True,T3_reproduced_not_druggable,0,0,,,,,,1.7351885468001494e-08,False,na_cn,False
RB1,E2F3,LOF,0.0,T3_reproduced_not_druggable,19,292,-0.30063665866695255,1.4927723814610041e-05,0.00010875913064930171,-1.5563880059412964,-1.296021623492663,1.95238963848693e-08,True,tested,True
KMT2D,RAD50,LOF,,T3_reproduced_not_druggable,36,275,-0.12966129260143885,3.217195902051047e-05,0.00018230776778289267,-0.8706929117780258,-0.7899399076989091,1.983609789798732e-08,True,tested,True
KRAS,DOCK5,ACT,0.0,T3_reproduced_not_druggable,65,246,-0.17489945223803388,0.00011058842100038632,0.0005127281337290638,-0.8367575116346851,-0.8636487854043929,4.168352922614373e-08,True,tested,True
NRAS,RAF1,ACT,,T1_clinically_anchored,13,298,-0.20388327652343788,0.00038911142496898316,0.0014174773338155814,-0.968370180268141,-1.192997076750096,4.9262897699693604e-08,True,tested,True
KRAS,RAB10,ACT,0.0,T3_reproduced_not_druggable,65,246,-0.06156450672243974,0.026700154866093728,0.03782521939363278,-0.2842514312240384,-0.6082334607416767,8.853127508702557e-08,True,tested,True
STAG2,STAG1,LOF,,T1_clinically_anchored,9,302,-0.4084358554844669,0.03418485539709498,0.04470327244235498,-1.9260961710429254,-3.0474232782313253,4.356081493249899e-07,True,tested,True
BRAF,ELAVL1,ACT,,T3_reproduced_not_druggable,18,293,-0.1840454919929917,0.0009893320977293633,0.00296799629318809,-0.9823500556252569,-0.8360968926950977,4.356081493249899e-07,True,tested,True
BRAF,CYB5R4,ACT,,T3_reproduced_not_druggable,18,293,-0.18137796740408635,0.00015356508837997712,0.0006024476544137565,-0.9675582391275616,-0.7866349848365488,7.763602405099738e-07,True,tested,True
PTEN,MLST8,LOF,0.0,T3_reproduced_not_druggable,27,284,-0.08719363568270033,0.019624802965664347,0.03228596616931877,-0.47948143457653175,-0.7987710751660848,2.0634059455918256e-06,True,tested,True
SMARCA4,ACSL3,LOF,0.0,T3_reproduced_not_druggable,11,300,-0.06694105705012704,0.0560086617872996,0.06642887793377394,-0.3136130935368998,-0.9133125014058928,2.0634059455918256e-06,True,tested,False
CIC,ZNF629,LOF,,T3_reproduced_not_druggable,4,307,,,,,-1.9052985231030704,3.2224162637314973e-06,False,insufficient_n,False
KMT2D,SMARCD1,LOF,,T3_reproduced_not_druggable,36,275,-0.09542099235068058,0.0016630896063831863,0.0038553440875246587,-0.5357608010196732,-0.6347925882634485,3.7652159959406695e-06,True,tested,True
BRAF,SYNCRIP,ACT,,T3_reproduced_not_druggable,18,293,-0.10688911546337282,0.01650176925544623,0.029020352828543372,-0.5745961842292677,-0.7049819566592259,3.925850025722679e-06,True,tested,True
