ModelID,parp1_expr_tpm_log1p,rnf144a_expr_tpm_log1p
ACH-001113,7.162189891303228,1.6870606883398924
ACH-001289,6.94216258558121,2.4620523187964327
ACH-001339,6.727375938594897,4.742545233866053
ACH-001979,5.15623479785027,4.724104519866845
ACH-002438,6.355967689241001,3.3798981635246923
ACH-001538,6.086613947409496,0.3334237337251918
ACH-000242,7.177220188114539,2.4620523187964327
ACH-000708,6.840085515568946,0.879705766282288
ACH-000327,6.654779216959517,2.324810603420484
ACH-000233,7.638291094170947,3.2539892662307865
ACH-000461,6.048759311919856,2.9981955031532523
ACH-000705,7.492654371018913,3.168321115739723
ACH-001794,6.159871336778389,1.6690267655096307
ACH-002023,5.596935142387232,0.6040713236688608
ACH-000528,7.04592343960255,1.8559896973084808
ACH-002501,8.002083639783425,4.173926931999809
ACH-001655,5.779259720372376,0.0
ACH-000167,7.180108068712015,0.8559896973084807
ACH-000792,5.953730849811491,1.871843648509318
ACH-001098,5.5505928897043,0.6599245584023783
ACH-000570,7.39942747418496,3.2357270598380583
ACH-000351,6.931564876020142,1.3161457422933562
ACH-002075,7.452941307971211,3.4646682670034443
ACH-002040,5.431622959713292,3.4046306842176115
ACH-000769,7.765733633623943,2.424922088210688
ACH-000154,6.132576842670009,0.1243281350022017
ACH-000828,7.437127844272807,1.1375035237499351
ACH-000421,6.696132955227083,2.324810603420484
ACH-000765,7.316055208890491,4.475733430966398
ACH-001375,6.384740587292384,1.263034405833794
ACH-000008,6.846493315964563,3.354734239970604
ACH-001814,5.825022364044702,1.632268215499513
ACH-000800,7.848059522168374,4.4495613746132365
ACH-000606,6.4154882710497,0.933572638261024
ACH-000317,6.373126157758923,1.372952097911829
ACH-001492,7.511120100851014,0.0
ACH-000123,6.931564876020142,2.032100843167024
ACH-000723,5.605257262939004,0.903038270112912
ACH-002066,6.348905161168407,3.854993016757
ACH-001536,4.574101508089389,0.9486008474933558
ACH-003136,6.94766615679601,1.0214797274104517
ACH-000313,6.233811384293157,2.7398481026993275
