ModelID,OncotreeLineage,mbd4_status,DRUG_NAME,rnf_low_parp_high_expr_proxy,rnf_low_parp_high_proxy,z,auc,n
ACH-001709,Lymphoid,LOF,Niraparib,True,False,-1.719426,0.831107,2
ACH-000971,Bowel,LOF,Niraparib,False,False,-0.429286,0.945105,1
ACH-000956,Prostate,LOF,Niraparib,False,False,-0.36424,0.900796,1
ACH-000978,Uterus,LOF,Niraparib,False,False,0.584037,0.962948,1
ACH-000985,Bowel,LOF,Niraparib,False,False,0.616033,0.963278,1
ACH-000963,Bowel,LOF,Niraparib,False,False,0.787162,0.985556,1
ACH-000936,Ovary/Fallopian Tube,LOF,Niraparib,False,False,1.451631,0.979754,1
ACH-001709,Lymphoid,LOF,Olaparib,True,False,-1.265891,0.91808,2
ACH-000971,Bowel,LOF,Olaparib,False,False,-0.560645,0.946718,1
ACH-000883,CNS/Brain,LOF,Olaparib,False,False,-0.325824,0.942614,1
ACH-000978,Uterus,LOF,Olaparib,False,False,0.436901,0.958354,1
ACH-000956,Prostate,LOF,Olaparib,False,False,0.447511,0.946106,1
ACH-000963,Bowel,LOF,Olaparib,False,False,0.633846,0.982469,1
ACH-000936,Ovary/Fallopian Tube,LOF,Olaparib,False,False,1.179378,0.972287,1
ACH-000985,Bowel,LOF,Olaparib,False,False,1.715057,0.98428,1
ACH-000971,Bowel,LOF,Rucaparib,False,False,-0.531017,0.966179,1
ACH-000978,Uterus,LOF,Rucaparib,False,False,-0.218999,0.949071,1
ACH-000963,Bowel,LOF,Rucaparib,False,False,-0.00781,0.976359,1
ACH-000883,CNS/Brain,LOF,Rucaparib,False,False,0.100754,0.969725,1
ACH-000956,Prostate,LOF,Rucaparib,False,False,0.104639,0.945528,1
ACH-000985,Bowel,LOF,Rucaparib,False,False,1.014448,0.975841,1
ACH-000936,Ovary/Fallopian Tube,LOF,Rucaparib,False,False,1.103833,0.973614,1
ACH-001709,Lymphoid,LOF,Talazoparib,True,False,-1.063054,0.70717,2
ACH-000883,CNS/Brain,LOF,Talazoparib,False,False,-0.637346,0.784494,1
ACH-000956,Prostate,LOF,Talazoparib,False,False,-0.110789,0.843062,1
ACH-000971,Bowel,LOF,Talazoparib,False,False,0.060809,0.918985,1
ACH-000963,Bowel,LOF,Talazoparib,False,False,0.183216,0.929883,1
ACH-000985,Bowel,LOF,Talazoparib,False,False,0.765322,0.948687,1
ACH-000936,Ovary/Fallopian Tube,LOF,Talazoparib,False,False,0.861496,0.949322,1
ACH-000978,Uterus,LOF,Talazoparib,False,False,1.41038,0.97827,1
ACH-000883,CNS/Brain,LOF,Veliparib,False,False,-1.68398,0.939764,1
ACH-000978,Uterus,LOF,Veliparib,False,False,-0.766827,0.952313,1
ACH-000963,Bowel,LOF,Veliparib,False,False,-0.579441,0.977455,1
ACH-000971,Bowel,LOF,Veliparib,False,False,-0.17229,0.98441,1
ACH-000985,Bowel,LOF,Veliparib,False,False,0.137913,0.969908,1
ACH-000956,Prostate,LOF,Veliparib,False,False,0.870938,0.97185,1
ACH-000936,Ovary/Fallopian Tube,LOF,Veliparib,False,False,1.226748,0.980494,1
ACH-000059,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-3.192414,0.561378,1
ACH-000070,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-3.06718,0.587879,1
ACH-000290,Lung,WT_no_MBD4_record,Niraparib,False,False,-2.83952,0.627781,1
ACH-000087,Bone,WT_no_MBD4_record,Niraparib,False,False,-2.530806,0.689265,1
ACH-000233,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-2.474467,0.710902,1
ACH-000586,Lung,WT_no_MBD4_record,Niraparib,False,False,-2.369784,0.710099,1
ACH-000045,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-2.311217,0.746794,1
ACH-000654,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-2.302671,0.73909,1
ACH-000362,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-2.278049,0.752237,1
ACH-001106,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-2.269618,0.738673,1
ACH-000922,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-2.255362,0.753992,1
ACH-000938,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-2.228609,0.748532,1
ACH-000391,Bone,WT_no_MBD4_record,Niraparib,False,True,-2.077589,0.755732,1
ACH-000657,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,True,False,-2.017333,0.752111,1
ACH-000338,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.990586,0.806146,1
ACH-000226,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.973012,0.820585,1
ACH-000052,Bone,WT_no_MBD4_record,Niraparib,False,False,-1.89824,0.790969,1
ACH-000767,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.889545,0.806645,1
ACH-000463,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.813515,0.796719,1
ACH-000703,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.80358,0.80926,1
ACH-000074,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.75984,0.815304,1
ACH-000913,Uterus,WT_no_MBD4_record,Niraparib,False,False,-1.669074,0.833021,1
ACH-001193,Bone,WT_no_MBD4_record,Niraparib,False,False,-1.64029,0.833003,1
ACH-000258,Breast,WT_no_MBD4_record,Niraparib,False,False,-1.627972,0.86416,1
ACH-001703,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-1.595606,0.836286,1
ACH-000372,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.584865,0.864129,1
ACH-000355,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.552835,0.854113,1
ACH-000607,Kidney,WT_no_MBD4_record,Niraparib,False,False,-1.538142,0.847027,1
ACH-000210,Bone,WT_no_MBD4_record,Niraparib,False,False,-1.494029,0.858202,1
ACH-000113,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.492932,0.888491,1
ACH-000137,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-1.474796,0.856429,1
ACH-000953,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.458512,0.836542,1
ACH-000538,Bowel,WT_no_MBD4_record,Niraparib,False,False,-1.432476,0.868432,1
ACH-000004,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.425748,0.899256,1
ACH-002214,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.394327,0.889582,2
ACH-000259,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-1.391521,0.885373,1
ACH-000078,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-1.391033,0.875638,1
ACH-000697,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-1.391016,0.898665,1
ACH-000326,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.386034,0.8882,1
ACH-000323,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-1.301214,0.860573,1
ACH-000348,Skin,WT_no_MBD4_record,Niraparib,False,False,-1.291631,0.872862,1
ACH-000583,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-1.2761,0.929571,1
ACH-000424,Bone,WT_no_MBD4_record,Niraparib,False,False,-1.267963,0.891975,1
ACH-000120,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-1.25554,0.862798,1
ACH-000146,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.242272,0.881849,1
ACH-000896,Bladder/Urinary Tract,WT_no_MBD4_record,Niraparib,True,False,-1.235496,0.879243,1
ACH-000394,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.18774,0.861347,1
ACH-000168,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.178248,0.899615,1
ACH-000295,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-1.166694,0.90642,1
ACH-000366,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-1.16635,0.891492,1
ACH-000273,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-1.130984,0.895563,1
ACH-000431,Lung,WT_no_MBD4_record,Niraparib,False,False,-1.045707,0.902135,1
ACH-000874,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.038357,0.933967,1
ACH-000050,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.024704,0.916494,1
ACH-000750,Skin,WT_no_MBD4_record,Niraparib,False,False,-1.011248,0.89302,1
ACH-000365,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-1.005283,0.940968,1
ACH-001711,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.9984,0.900326,1
ACH-001642,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.993848,0.940907,1
ACH-001530,Uterus,WT_no_MBD4_record,Niraparib,False,False,-0.986373,0.908655,1
ACH-000198,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.981638,0.950162,1
ACH-000096,Kidney,WT_no_MBD4_record,Niraparib,False,False,-0.970141,0.869191,1
ACH-000983,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.963571,0.924931,1
ACH-000211,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.959333,0.908371,1
ACH-000345,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.94175,0.897402,1
ACH-000816,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.921872,0.9274,1
ACH-000610,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.918058,0.863985,1
ACH-000838,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.916693,0.937979,1
ACH-000373,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.89613,0.942413,1
ACH-000315,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-0.88848,0.907132,1
ACH-000371,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-0.880524,0.921803,1
ACH-001075,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.859984,0.892461,1
ACH-001528,Thyroid,WT_no_MBD4_record,Niraparib,False,False,-0.859914,0.912461,1
ACH-000525,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.857493,0.956074,1
ACH-000263,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.857345,0.948029,1
ACH-000375,Kidney,WT_no_MBD4_record,Niraparib,False,False,-0.851171,0.88703,1
ACH-000260,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.82717,0.883168,1
ACH-000780,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.82656,0.917572,1
ACH-000227,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.823276,0.874786,1
ACH-000696,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.818585,0.929527,1
ACH-000788,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.804649,0.930223,1
ACH-000871,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.796012,0.9378,1
