ModelID,OncotreeLineage,mbd4_status,rnf_low_parp_high_expr_proxy,rnf_low_parp_high_proxy,parp_mean_z,parp_median_z,parp_mean_auc,parp_n
ACH-001709,Lymphoid,LOF,True,False,-1.349457,-1.265891,0.8187856666666667,6
ACH-000883,CNS/Brain,LOF,False,False,-0.6365989999999999,-0.481585,0.90914925,4
ACH-000971,Bowel,LOF,False,False,-0.3264858,-0.429286,0.9522793999999999,5
ACH-000956,Prostate,LOF,False,False,0.1896118,0.104639,0.9214684,5
ACH-000963,Bowel,LOF,False,False,0.20339460000000004,0.183216,0.9703443999999999,5
ACH-000978,Uterus,LOF,False,False,0.2890984,0.436901,0.9601912,5
ACH-000985,Bowel,LOF,False,False,0.8497546,0.765322,0.9683987999999999,5
ACH-000936,Ovary/Fallopian Tube,LOF,False,False,1.1646172,1.179378,0.9710941999999999,5
ACH-000290,Lung,WT_no_MBD4_record,False,False,-3.1202638,-3.069376,0.6279058,5
ACH-000070,Lymphoid,WT_no_MBD4_record,False,False,-2.973526,-3.06718,0.6435408,5
ACH-000059,Lymphoid,WT_no_MBD4_record,True,False,-2.8914812,-2.919528,0.6523394,5
ACH-000087,Bone,WT_no_MBD4_record,False,False,-2.5169328,-2.530806,0.6739356,5
ACH-000226,Lymphoid,WT_no_MBD4_record,False,False,-2.2800422,-1.973012,0.7419056,5
ACH-000586,Lung,WT_no_MBD4_record,False,False,-2.1563098,-2.364757,0.7230012,5
ACH-000362,Myeloid,WT_no_MBD4_record,False,False,-2.1562012,-2.278049,0.8031048000000001,5
ACH-000045,Myeloid,WT_no_MBD4_record,False,False,-2.093098,-2.054954,0.811045,5
ACH-001106,Lymphoid,WT_no_MBD4_record,False,False,-2.0759946,-2.269618,0.7418106,5
ACH-000258,Breast,WT_no_MBD4_record,False,False,-1.9298036,-1.642073,0.8467852,5
ACH-000257,Lung,WT_no_MBD4_record,False,False,-1.90693275,-2.1057745,0.77159375,4
ACH-000639,Lung,WT_no_MBD4_record,False,True,-1.8950342,-2.287973,0.7877612,5
ACH-000113,Myeloid,WT_no_MBD4_record,False,False,-1.8915625999999999,-1.884661,0.8507732000000001,5
ACH-000233,Lymphoid,WT_no_MBD4_record,False,False,-1.7997454000000002,-1.707149,0.7869124000000001,5
ACH-000697,Lymphoid,WT_no_MBD4_record,True,False,-1.7867774,-1.7355,0.8621836,5
ACH-000922,Lymphoid,WT_no_MBD4_record,False,False,-1.7801496,-2.187881,0.7835136,5
ACH-000538,Bowel,WT_no_MBD4_record,False,False,-1.741767,-1.432476,0.7726288,5
ACH-000463,Lung,WT_no_MBD4_record,False,False,-1.7330818000000001,-1.813515,0.7555018,5
ACH-000391,Bone,WT_no_MBD4_record,False,True,-1.6337842000000002,-1.834384,0.7863659999999999,5
ACH-000938,Lymphoid,WT_no_MBD4_record,True,False,-1.6133250000000001,-1.784039,0.8042726,5
ACH-000703,Lung,WT_no_MBD4_record,False,False,-1.5728848000000002,-1.80358,0.7891974,5
ACH-000338,Lymphoid,WT_no_MBD4_record,False,False,-1.54008825,-1.5465155,0.926945,4
ACH-000583,Lymphoid,WT_no_MBD4_record,True,False,-1.5015482,-1.2761,0.8247478000000001,5
ACH-001642,Lymphoid,WT_no_MBD4_record,False,False,-1.4949932000000001,-1.497637,0.8365106000000001,5
ACH-001703,Lymphoid,WT_no_MBD4_record,True,False,-1.4771956,-1.531397,0.845467,5
ACH-000052,Bone,WT_no_MBD4_record,False,False,-1.4164808,-1.8787,0.8085824,5
ACH-000210,Bone,WT_no_MBD4_record,False,False,-1.4058214,-1.494029,0.8009112,5
ACH-002290,Myeloid,WT_no_MBD4_record,False,False,-1.391689,-1.3906995,0.85870075,4
ACH-000657,Ovary/Fallopian Tube,WT_no_MBD4_record,True,False,-1.3766180000000001,-1.113963,0.8406739999999999,5
ACH-000424,Bone,WT_no_MBD4_record,False,False,-1.3559092,-1.267963,0.8351606,5
ACH-000259,Peripheral Nervous System,WT_no_MBD4_record,False,False,-1.3427734,-1.302176,0.8887268,5
ACH-000078,Peripheral Nervous System,WT_no_MBD4_record,False,False,-1.3200268,-1.391033,0.8100849999999999,5
ACH-000326,Myeloid,WT_no_MBD4_record,False,False,-1.310886,-1.3244945000000001,0.9397445,4
ACH-000874,Lymphoid,WT_no_MBD4_record,False,False,-1.3051008,-1.170381,0.8754772000000001,5
ACH-000607,Kidney,WT_no_MBD4_record,False,False,-1.2446367999999999,-1.429127,0.8539476,5
ACH-000372,Lymphoid,WT_no_MBD4_record,False,False,-1.2391029999999998,-1.138977,0.8466676666666667,3
ACH-000400,Bowel,WT_no_MBD4_record,False,False,-1.2187462,-1.775522,0.7923484000000001,5
ACH-001193,Bone,WT_no_MBD4_record,False,False,-1.2027702,-1.231314,0.850666,5
ACH-000654,Lymphoid,WT_no_MBD4_record,True,False,-1.1993368,-1.140573,0.8426288,5
ACH-000198,Myeloid,WT_no_MBD4_record,False,False,-1.1992664,-1.303367,0.9403181999999999,5
ACH-000151,Lymphoid,WT_no_MBD4_record,False,False,-1.198666,-1.305471,0.9154595999999999,5
ACH-000074,Myeloid,WT_no_MBD4_record,False,False,-1.1486374,-1.001754,0.8791119999999999,5
ACH-000581,Esophagus/Stomach,WT_no_MBD4_record,False,False,-1.1341985,-1.3513995,0.93331,4
ACH-000788,Skin,WT_no_MBD4_record,False,False,-1.1088184,-0.810362,0.8664569999999999,5
ACH-000101,Lymphoid,WT_no_MBD4_record,False,False,-1.1021942,-0.974284,0.9355542,10
ACH-000389,CNS/Brain,WT_no_MBD4_record,False,False,-1.097122,-1.455352,0.8616954,5
ACH-002291,Testis,WT_no_MBD4_record,False,False,-1.074154,-1.408829,0.8092705,4
ACH-000137,CNS/Brain,WT_no_MBD4_record,False,False,-1.0045198,-1.006031,0.873731,5
ACH-000168,Myeloid,WT_no_MBD4_record,False,False,-0.9749776000000001,-1.015886,0.9095196,5
ACH-000004,Myeloid,WT_no_MBD4_record,False,False,-0.9718932,-1.003262,0.9200666,5
ACH-000896,Bladder/Urinary Tract,WT_no_MBD4_record,True,False,-0.940556,-1.235496,0.8439114,5
ACH-000953,Lymphoid,WT_no_MBD4_record,False,False,-0.9362492,-0.884337,0.8728300000000001,5
ACH-000371,Lymphoid,WT_no_MBD4_record,True,False,-0.9326842,-0.796954,0.8444112,5
ACH-000913,Uterus,WT_no_MBD4_record,False,False,-0.9103362,-0.883163,0.8962102,5
ACH-000120,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.900332,-0.909485,0.8748735999999999,5
ACH-002214,Lymphoid,WT_no_MBD4_record,False,False,-0.8918573999999999,-1.153691,0.9521514,10
ACH-000763,Lymphoid,WT_no_MBD4_record,True,False,-0.8904716,-1.133342,0.9458002000000001,5
ACH-000767,Lung,WT_no_MBD4_record,False,False,-0.8869854,-0.523787,0.9111330000000001,5
ACH-000966,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.8817686,-0.594175,0.8826094,5
ACH-000525,Lung,WT_no_MBD4_record,False,False,-0.8696234,-0.857493,0.9583112,5
ACH-000053,Lymphoid,WT_no_MBD4_record,False,False,-0.86195225,-0.6816504999999999,0.92623575,4
ACH-001530,Uterus,WT_no_MBD4_record,False,False,-0.8613248,-0.986373,0.8355204,5
ACH-000871,Lung,WT_no_MBD4_record,False,False,-0.8544226,-0.765244,0.9436602000000001,5
ACH-000301,Myeloid,WT_no_MBD4_record,False,False,-0.8482826000000001,-0.755619,0.9594688,5
ACH-000816,Lung,WT_no_MBD4_record,False,False,-0.8423653999999999,-1.172552,0.9498536,5
ACH-000345,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.8353562,-0.94175,0.8317688000000001,5
ACH-001680,Lymphoid,WT_no_MBD4_record,True,False,-0.8310297999999999,-0.587828,0.958077,5
ACH-000373,Myeloid,WT_no_MBD4_record,False,False,-0.8307005999999999,-0.89613,0.9470428,5
ACH-000983,Myeloid,WT_no_MBD4_record,False,False,-0.8245844,-0.741484,0.9422396,5
ACH-000187,Lung,WT_no_MBD4_record,False,False,-0.8086018000000001,-0.726458,0.910581,5
ACH-000431,Lung,WT_no_MBD4_record,False,False,-0.7800498,-0.772321,0.8630578,5
ACH-000817,Lymphoid,WT_no_MBD4_record,False,False,-0.7578938000000001,-0.866982,0.9649051999999999,5
ACH-000366,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.7569208,-0.572434,0.923624,5
ACH-001075,Lung,WT_no_MBD4_record,False,False,-0.749108,-0.734484,0.8247384,5
ACH-000211,CNS/Brain,WT_no_MBD4_record,False,False,-0.736151,-0.959333,0.8953434,5
ACH-002215,Lymphoid,WT_no_MBD4_record,False,False,-0.7355162,-0.582691,0.9762524000000001,5
ACH-000295,Myeloid,WT_no_MBD4_record,False,False,-0.7165117999999999,-0.663258,0.9438435999999999,5
ACH-000096,Kidney,WT_no_MBD4_record,False,False,-0.7155238,-0.765161,0.8598844,5
ACH-000394,Lung,WT_no_MBD4_record,False,False,-0.7099124,-0.727346,0.8883724000000001,5
ACH-000099,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.7097208,-0.610677,0.8851972,5
ACH-000750,Skin,WT_no_MBD4_record,False,False,-0.706095,-0.848825,0.8996102,5
ACH-000977,Prostate,WT_no_MBD4_record,False,False,-0.6992342,-0.776645,0.8953631999999999,5
ACH-000263,Myeloid,WT_no_MBD4_record,False,False,-0.6955302000000001,-0.857345,0.9676978,5
ACH-000104,Lymphoid,WT_no_MBD4_record,False,False,-0.6853667999999999,-0.587878,0.9595364,5
ACH-000358,Lung,WT_no_MBD4_record,False,True,-0.68085,-0.5366175,0.93236875,4
ACH-000050,Lymphoid,WT_no_MBD4_record,False,False,-0.6775468,-0.537953,0.9441756,5
ACH-000847,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.6741772500000001,-0.9066235,0.957832,4
ACH-000610,Lung,WT_no_MBD4_record,False,False,-0.6707892,-0.918058,0.8292591999999999,5
ACH-000481,Lung,WT_no_MBD4_record,True,False,-0.6576422,-0.674744,0.8693415999999999,5
ACH-000365,Lymphoid,WT_no_MBD4_record,False,False,-0.6501646,-0.664455,0.9607905999999999,5
ACH-001528,Thyroid,WT_no_MBD4_record,False,False,-0.64903,-0.613174,0.919557,5
ACH-000355,Lung,WT_no_MBD4_record,False,False,-0.6222124,-0.355557,0.942502,5
ACH-001400,Vulva/Vagina,WT_no_MBD4_record,False,False,-0.610854,-0.615512,0.9143281999999999,5
ACH-000336,Myeloid,WT_no_MBD4_record,False,False,-0.6073178,-0.76968,0.9434308,5
ACH-000273,CNS/Brain,WT_no_MBD4_record,False,False,-0.6053930000000001,-0.731073,0.9170757999999999,5
ACH-000348,Skin,WT_no_MBD4_record,False,False,-0.5877896,-0.408027,0.930368,5
ACH-000334,Lymphoid,WT_no_MBD4_record,False,False,-0.5868551999999999,-0.534092,0.9348722,5
ACH-000866,Lung,WT_no_MBD4_record,False,False,-0.5846556,-0.52778,0.8924972,5
ACH-000754,Lymphoid,WT_no_MBD4_record,True,False,-0.57961,-0.519404,0.9520198000000001,5
ACH-000048,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.5782116,-0.591025,0.9096596,5
ACH-000699,Breast,WT_no_MBD4_record,False,False,-0.57338625,-0.43218,0.9245362500000001,4
ACH-000800,Lung,WT_no_MBD4_record,False,False,-0.5644712000000001,-0.518118,0.949883,5
ACH-000780,Lung,WT_no_MBD4_record,False,False,-0.5407586,-0.82656,0.899663,5
ACH-000506,Lung,WT_no_MBD4_record,False,False,-0.5322188,-0.698774,0.9131972000000002,5
ACH-000378,Lung,WT_no_MBD4_record,False,False,-0.5262127999999999,-0.52999,0.9068267999999999,5
ACH-000311,Lung,WT_no_MBD4_record,False,False,-0.5203396,-0.519641,0.9586378,5
ACH-000803,Lung,WT_no_MBD4_record,False,False,-0.5037054,-0.493395,0.8928214000000001,5
ACH-000375,Kidney,WT_no_MBD4_record,False,False,-0.49560960000000004,-0.634659,0.9054824,5
ACH-000696,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.47767160000000003,-0.445095,0.9403750000000001,5
ACH-000838,Lymphoid,WT_no_MBD4_record,False,False,-0.47113879999999997,-0.763093,0.9714114,5
ACH-000664,Lymphoid,WT_no_MBD4_record,False,False,-0.4553712,0.204499,0.8367634,5
ACH-000694,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.44801919999999995,0.275241,0.933062,5
ACH-000227,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.43360560000000004,-0.69698,0.8827282000000001,5
ACH-000007,Bowel,WT_no_MBD4_record,False,True,-0.43007325,-0.2858545,0.9462345,4
ACH-000469,CNS/Brain,WT_no_MBD4_record,False,False,-0.4274662,-0.201151,0.9283944,5
ACH-000024,Lymphoid,WT_no_MBD4_record,False,False,-0.4185134,-0.48076,0.9765358000000001,5
ACH-000729,Lung,WT_no_MBD4_record,False,False,-0.41333780000000003,-0.398925,0.9577342,5
ACH-000062,Lung,WT_no_MBD4_record,False,False,-0.41228560000000003,-0.315589,0.9289956,5
ACH-000856,Breast,WT_no_MBD4_record,False,False,-0.4026198000000001,-0.590107,0.8811674,5
ACH-000974,Uterus,WT_no_MBD4_record,False,False,-0.40169879999999997,-0.596487,0.9573324,5
ACH-000790,Lung,WT_no_MBD4_record,False,False,-0.3939282,-0.350251,0.967989,5
ACH-000183,Lymphoid,WT_no_MBD4_record,False,False,-0.3897686,-0.043678,0.9878818,5
ACH-000146,Myeloid,WT_no_MBD4_record,False,False,-0.387374,-0.127969,0.9171936,5
ACH-000376,CNS/Brain,WT_no_MBD4_record,False,False,-0.3776352,-0.437309,0.8975377999999999,5
ACH-000486,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,-0.3689112,-0.537518,0.9490079999999999,5
ACH-000670,Lung,WT_no_MBD4_record,False,False,-0.3606402,-0.424806,0.9495894,5
ACH-001333,Cervix,WT_no_MBD4_record,False,False,-0.3606288,-0.226612,0.9370588,5
ACH-001274,Soft Tissue,WT_no_MBD4_record,False,False,-0.3560054,-0.371818,0.9182854,5
ACH-001674,Peripheral Nervous System,WT_no_MBD4_record,False,False,-0.3468112,-0.244938,0.9581084000000001,5
ACH-000939,Uterus,WT_no_MBD4_record,False,False,-0.34265179999999995,-0.182591,0.9596366,5
ACH-000354,Pancreas,WT_no_MBD4_record,False,False,-0.3353956,-0.52257,0.9128426,5
ACH-000496,Lung,WT_no_MBD4_record,False,False,-0.3340164,-0.22416,0.9491191999999999,5
ACH-001526,Bone,WT_no_MBD4_record,False,False,-0.33344500000000005,-0.163306,0.915424,5
ACH-000900,Lung,WT_no_MBD4_record,False,False,-0.3243874,-0.162204,0.956082,5
ACH-000132,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.3236025,-0.29216200000000003,0.89273425,4
ACH-000129,Cervix,WT_no_MBD4_record,False,False,-0.3166415,-0.536601,0.9289405000000001,4
ACH-000832,Head and Neck,WT_no_MBD4_record,False,False,-0.3141248,-0.421726,0.9171582,5
ACH-000219,Skin,WT_no_MBD4_record,False,False,-0.3116866,-0.374053,0.9156624000000001,5
ACH-000937,Lymphoid,WT_no_MBD4_record,False,False,-0.310491,-0.2997,0.9623258,5
ACH-000935,Bowel,WT_no_MBD4_record,False,False,-0.3085598,-0.380517,0.9271533999999999,5
ACH-000624,Breast,WT_no_MBD4_record,False,True,-0.30179659999999997,-0.343429,0.9600690000000001,5
ACH-000416,Lung,WT_no_MBD4_record,False,False,-0.2886664,-0.224534,0.9434406,5
ACH-000323,CNS/Brain,WT_no_MBD4_record,False,False,-0.284205,-0.287888,0.9209862,5
ACH-000688,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.28360399999999997,-0.307303,0.9197092,5
ACH-001489,Lung,WT_no_MBD4_record,False,False,-0.27073080000000005,-0.363885,0.910012,5
ACH-000247,Esophagus/Stomach,WT_no_MBD4_record,False,True,-0.2691788,-0.633363,0.9190012,5
ACH-000770,Myeloid,WT_no_MBD4_record,False,False,-0.266101,-0.606373,0.971368,4
ACH-000943,Bowel,WT_no_MBD4_record,False,False,-0.24136439999999998,-0.280885,0.9654788,5
ACH-000572,Skin,WT_no_MBD4_record,False,False,-0.2390934,-0.187286,0.9518912,5
ACH-000653,Lymphoid,WT_no_MBD4_record,True,False,-0.23331620000000003,-0.642897,0.986408,5
ACH-000439,Myeloid,WT_no_MBD4_record,False,False,-0.2309596,-0.225584,0.9676306,5
ACH-000207,Head and Neck,WT_no_MBD4_record,False,False,-0.22334939999999998,-0.115361,0.9549607999999999,5
ACH-000411,Kidney,WT_no_MBD4_record,False,False,-0.21595460000000002,-0.208911,0.932311,5
ACH-001715,Bone,WT_no_MBD4_record,False,False,-0.20928399999999997,-0.184185,0.932609,5
ACH-000488,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.19422580000000003,0.08793,0.9595366000000001,5
ACH-000015,Lung,WT_no_MBD4_record,False,False,-0.166483,-0.100803,0.969652,5
ACH-000905,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,-0.1648518,-0.259668,0.9349686,5
ACH-000973,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,-0.16155420000000004,-0.277552,0.9238072,5
ACH-000849,Breast,WT_no_MBD4_record,False,False,-0.159209,-0.146865,0.9493544,5
ACH-000508,Lung,WT_no_MBD4_record,False,False,-0.14120275,-0.1583155,0.9484125,4
ACH-000880,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.14028,-0.200035,0.9578371999999999,5
ACH-000827,Skin,WT_no_MBD4_record,False,False,-0.13916900000000001,-0.259443,0.9220414,5
ACH-001543,Head and Neck,WT_no_MBD4_record,False,False,-0.13652580000000003,0.049453,0.9641648,5
ACH-000698,Lung,WT_no_MBD4_record,False,False,-0.13144640000000002,-0.105597,0.9400981999999999,5
ACH-000768,Breast,WT_no_MBD4_record,False,False,-0.124215,0.000154,0.9543164000000001,5
ACH-000530,Lung,WT_no_MBD4_record,False,False,-0.12365300000000001,-0.140331,0.9544718,5
ACH-000802,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,-0.11739119999999999,-0.265098,0.9605136,5
ACH-000092,Pleura,WT_no_MBD4_record,False,False,-0.11360125,-0.0364245,0.88644475,4
ACH-000265,Pancreas,WT_no_MBD4_record,False,False,-0.11025139999999997,-0.154682,0.97309,5
ACH-001711,CNS/Brain,WT_no_MBD4_record,False,False,-0.10016666666666664,0.201882,0.9442643333333333,3
ACH-000749,Lung,WT_no_MBD4_record,False,False,-0.09663340000000001,0.090823,0.9335988000000001,5
ACH-000440,Lymphoid,WT_no_MBD4_record,True,False,-0.0899408,-0.202832,0.9588986,5
ACH-000929,Lung,WT_no_MBD4_record,False,False,-0.08734559999999998,-0.337788,0.9394444,5
ACH-000568,Breast,WT_no_MBD4_record,False,False,-0.07129299999999998,0.027133500000000005,0.92382575,4
ACH-000986,Bowel,WT_no_MBD4_record,False,False,-0.07054940000000001,0.160082,0.953943,5
ACH-000318,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.06873719999999997,-0.405902,0.958534,5
ACH-000589,Lung,WT_no_MBD4_record,False,False,-0.06489299999999998,0.005281,0.9492752,5
ACH-000359,Bone,WT_no_MBD4_record,False,False,-0.0642942,-0.095777,0.9394766000000001,5
ACH-000846,Head and Neck,WT_no_MBD4_record,False,False,-0.05506679999999999,-0.358936,0.9425136000000001,5
ACH-000714,Lymphoid,WT_no_MBD4_record,False,False,-0.05000399999999999,0.182521,0.9731152,5
ACH-000783,Breast,WT_no_MBD4_record,False,False,-0.04849939999999999,-0.062681,0.9696809999999999,5
ACH-000429,Kidney,WT_no_MBD4_record,False,False,-0.0449646,-0.029249,0.9415558,5
ACH-000932,Esophagus/Stomach,WT_no_MBD4_record,False,False,-0.026565000000000005,-0.070923,0.9577646,5
ACH-000756,CNS/Brain,WT_no_MBD4_record,False,False,-0.008648999999999995,-0.089543,0.9664196,5
ACH-000713,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,-0.005924199999999979,0.037291,0.9293060000000001,5
ACH-000852,Lung,WT_no_MBD4_record,False,False,0.002634199999999964,-0.281687,0.9867756,5
ACH-000668,Breast,WT_no_MBD4_record,False,True,0.008066600000000024,-0.055234,0.9698638,5
ACH-000792,Kidney,WT_no_MBD4_record,False,False,0.012464999999999993,-0.281118,0.9458866,5
ACH-000830,Lung,WT_no_MBD4_record,False,True,0.017752200000000006,0.053235,0.9704668,5
ACH-000535,Pancreas,WT_no_MBD4_record,False,False,0.021395799999999986,0.194086,0.9534902000000001,5
ACH-001401,Adrenal Gland,WT_no_MBD4_record,False,False,0.02679840000000002,0.257686,0.970813,5
ACH-000917,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.027752199999999984,-0.13905,0.9769568,5
ACH-000145,Soft Tissue,WT_no_MBD4_record,False,False,0.029274,-0.042475,0.9622632,10
ACH-000911,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.031261399999999995,0.238223,0.9138310000000001,5
ACH-001334,Cervix,WT_no_MBD4_record,False,False,0.03426999999999999,-0.156207,0.9726476,5
ACH-000740,Head and Neck,WT_no_MBD4_record,False,False,0.038087800000000005,-0.080318,0.9747598,5
ACH-000769,Lung,WT_no_MBD4_record,False,False,0.042388999999999996,0.008039,0.9495424,5
ACH-000843,Lung,WT_no_MBD4_record,False,False,0.0447788,0.032446,0.9491126,5
