COSMIC_ID,ModelID,OncotreeLineage,DRUG_NAME,AUC,Z_SCORE,rnf_low_parp_high_expr_proxy,rnf_low_parp_high_proxy,rnf144a_expr_tpm_log1p,parp1_expr_tpm_log1p
905936,ACH-000971,Bowel,Olaparib,0.946718,-0.560645,False,False,2.769771739249448,7.6018450565110385
906852,ACH-000936,Ovary/Fallopian Tube,Olaparib,0.972287,1.179378,False,False,2.811471030529836,6.273515889702116
907794,ACH-000985,Bowel,Olaparib,0.98428,1.715057,False,False,0.0565835283663675,6.8370602037586
909750,ACH-000883,CNS/Brain,Olaparib,0.942614,-0.325824,False,False,2.2387868595871168,6.532005193790571
909785,ACH-001709,Lymphoid,Olaparib,0.91808,-1.265891,True,False,0.1505596765753814,7.575463612084407
909785,ACH-001709,Lymphoid,Olaparib,0.91808,-1.265891,True,False,0.1505596765753814,7.575463612084407
924100,ACH-000956,Prostate,Olaparib,0.946106,0.447511,False,False,1.992768430768924,8.150407356980573
1240123,ACH-000963,Bowel,Olaparib,0.982469,0.633846,False,False,1.7990873060740036,7.376602951924786
1240127,ACH-000978,Uterus,Olaparib,0.958354,0.436901,False,False,2.839959587489532,7.0437381998014
905936,ACH-000971,Bowel,Veliparib,0.98441,-0.17229,False,False,2.769771739249448,7.6018450565110385
906852,ACH-000936,Ovary/Fallopian Tube,Veliparib,0.980494,1.226748,False,False,2.811471030529836,6.273515889702116
907794,ACH-000985,Bowel,Veliparib,0.969908,0.137913,False,False,0.0565835283663675,6.8370602037586
909750,ACH-000883,CNS/Brain,Veliparib,0.939764,-1.68398,False,False,2.2387868595871168,6.532005193790571
924100,ACH-000956,Prostate,Veliparib,0.97185,0.870938,False,False,1.992768430768924,8.150407356980573
1240123,ACH-000963,Bowel,Veliparib,0.977455,-0.579441,False,False,1.7990873060740036,7.376602951924786
1240127,ACH-000978,Uterus,Veliparib,0.952313,-0.766827,False,False,2.839959587489532,7.0437381998014
905936,ACH-000971,Bowel,Rucaparib,0.966179,-0.531017,False,False,2.769771739249448,7.6018450565110385
906852,ACH-000936,Ovary/Fallopian Tube,Rucaparib,0.973614,1.103833,False,False,2.811471030529836,6.273515889702116
907794,ACH-000985,Bowel,Rucaparib,0.975841,1.014448,False,False,0.0565835283663675,6.8370602037586
909750,ACH-000883,CNS/Brain,Rucaparib,0.969725,0.100754,False,False,2.2387868595871168,6.532005193790571
924100,ACH-000956,Prostate,Rucaparib,0.945528,0.104639,False,False,1.992768430768924,8.150407356980573
1240123,ACH-000963,Bowel,Rucaparib,0.976359,-0.00781,False,False,1.7990873060740036,7.376602951924786
1240127,ACH-000978,Uterus,Rucaparib,0.949071,-0.218999,False,False,2.839959587489532,7.0437381998014
905936,ACH-000971,Bowel,Niraparib,0.945105,-0.429286,False,False,2.769771739249448,7.6018450565110385
906852,ACH-000936,Ovary/Fallopian Tube,Niraparib,0.979754,1.451631,False,False,2.811471030529836,6.273515889702116
907794,ACH-000985,Bowel,Niraparib,0.963278,0.616033,False,False,0.0565835283663675,6.8370602037586
909785,ACH-001709,Lymphoid,Niraparib,0.831107,-1.719426,True,False,0.1505596765753814,7.575463612084407
909785,ACH-001709,Lymphoid,Niraparib,0.831107,-1.719426,True,False,0.1505596765753814,7.575463612084407
924100,ACH-000956,Prostate,Niraparib,0.900796,-0.36424,False,False,1.992768430768924,8.150407356980573
1240123,ACH-000963,Bowel,Niraparib,0.985556,0.787162,False,False,1.7990873060740036,7.376602951924786
1240127,ACH-000978,Uterus,Niraparib,0.962948,0.584037,False,False,2.839959587489532,7.0437381998014
905936,ACH-000971,Bowel,Talazoparib,0.918985,0.060809,False,False,2.769771739249448,7.6018450565110385
906852,ACH-000936,Ovary/Fallopian Tube,Talazoparib,0.949322,0.861496,False,False,2.811471030529836,6.273515889702116
907794,ACH-000985,Bowel,Talazoparib,0.948687,0.765322,False,False,0.0565835283663675,6.8370602037586
909750,ACH-000883,CNS/Brain,Talazoparib,0.784494,-0.637346,False,False,2.2387868595871168,6.532005193790571
909785,ACH-001709,Lymphoid,Talazoparib,0.70717,-1.063054,True,False,0.1505596765753814,7.575463612084407
909785,ACH-001709,Lymphoid,Talazoparib,0.70717,-1.063054,True,False,0.1505596765753814,7.575463612084407
924100,ACH-000956,Prostate,Talazoparib,0.843062,-0.110789,False,False,1.992768430768924,8.150407356980573
1240123,ACH-000963,Bowel,Talazoparib,0.929883,0.183216,False,False,1.7990873060740036,7.376602951924786
1240127,ACH-000978,Uterus,Talazoparib,0.97827,1.41038,False,False,2.839959587489532,7.0437381998014
