ModelID,VariantInfo,HugoSymbol,MolecularConsequence,TranscriptLikelyLof,LikelyLoF
ACH-000883,stop_gained,MBD4,"SO:0001587|nonsense,SO:0001624|3_prime_UTR_variant",,True
ACH-001709,frameshift_variant,MBD4,"SO:0001589|frameshift_variant,SO:0001627|intron_variant",,True
ACH-000936,frameshift_variant,MBD4,"SO:0001589|frameshift_variant,SO:0001627|intron_variant",,True
ACH-001709,frameshift_variant,MBD4,"SO:0001589|frameshift_variant,SO:0001627|intron_variant",,True
ACH-000985,frameshift_variant,MBD4,,,True
ACH-000971,frameshift_variant,MBD4,,,True
ACH-000978,frameshift_variant,MBD4,,,True
ACH-000963,frameshift_variant,MBD4,,,True
ACH-000956,frameshift_variant,MBD4,,,True
ACH-000985,frameshift_variant,MBD4,,,True
ACH-000883,stop_gained,MBD4,"SO:0001587|nonsense,SO:0001624|3_prime_UTR_variant",,True
ACH-000936,frameshift_variant,MBD4,"SO:0001589|frameshift_variant,SO:0001627|intron_variant",,True
ACH-000985,frameshift_variant,MBD4,,,True
ACH-000971,frameshift_variant,MBD4,,,True
ACH-000956,frameshift_variant,MBD4,,,True
ACH-000978,frameshift_variant,MBD4,,,True
ACH-000963,frameshift_variant,MBD4,,,True
ACH-000956,frameshift_variant,MBD4,,,True
ACH-000985,frameshift_variant,MBD4,,,True
