drug_name,dataset,metric,n_lof,n_wt,delta,p_value_full_precision,cohens_d_full_precision,cohort_definition,depmap_release,gdsc_release
ceralasertib,GDSC2,LN_IC50,14,914,-0.7324529879649893,0.021484496737088882,-0.5032867186922607,MBD4 True-LOF (LikelyLoF=True) vs WT; primary drug screen rows; WT_rule=Methods_no_somatic_MBD4,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,AUC,14,914,-0.05564297952485164,0.012941267483990927,-0.5569455208182712,MBD4 True-LOF (LikelyLoF=True) vs WT; primary drug screen rows; WT_rule=Methods_no_somatic_MBD4,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,Z_SCORE,14,914,-0.5014866242575805,0.021484496737088882,-0.5032867614988976,MBD4 True-LOF (LikelyLoF=True) vs WT; primary drug screen rows; WT_rule=Methods_no_somatic_MBD4,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,LN_IC50,14,922,-0.7299812342733185,0.022027747824041315,-0.5010835606513752,MBD4 True-LOF vs comparator pool excluding only True-LOF (NOT Methods primary); WT_rule=Alternate_non_LOF_only_WT_includes_MBD4_nonLoF_mutants,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,AUC,14,922,-0.05532818097304004,0.013217884170817923,-0.5537917483278503,MBD4 True-LOF vs comparator pool excluding only True-LOF (NOT Methods primary); WT_rule=Alternate_non_LOF_only_WT_includes_MBD4_nonLoF_mutants,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,Z_SCORE,14,922,-0.4997942957855594,0.022027747824041315,-0.5010836047344939,MBD4 True-LOF vs comparator pool excluding only True-LOF (NOT Methods primary); WT_rule=Alternate_non_LOF_only_WT_includes_MBD4_nonLoF_mutants,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
adavosertib,GDSC2,LN_IC50,15,920,-0.5080370851449276,0.07445705343975263,-0.3594348912682576,MBD4 True-LOF vs WT; adavosertib = MK-1775 in GDSC2; WT_rule=Methods_no_somatic_MBD4,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
adavosertib,GDSC2,LN_IC50,15,929,-0.5117322005740941,0.07325831886209795,-0.36100394320384716,MBD4 True-LOF vs alternate WT pool; WT_rule=Alternate_non_LOF_only_WT_includes_MBD4_nonLoF_mutants,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,LN_IC50,10,906,-0.9095277046357615,0.015328932966132268,-0.6227047947387747,Stress MSI purge: exclude ModelSubtypeFeatures containing 'MSI' from both arms; Methods WT,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
ceralasertib,GDSC2,LN_IC50,11,619,-1.0692019443383756,0.003002668797799231,-0.7404782024497254,Stress TP53: MBD4-LOF∩TP53-mut vs MBD4-WT(Methods)∩TP53-mut; TP53-mut = any somatic TP53 in OmicsSomaticMutations,24Q2 (Methods); local parquet bundle under SyntheticLethality/.cache/depmap (no embedded release tag in files),GDSC2 (parquet DATASET=GDSC2; Sanger/CancerRxGene GDSC2 screen bundled with DepMap cache)
