cancer,driver,mode,n_mut,n_wt,partner,delta_dependency,p_value,fdr,effect_size_cohend,codependency_r,pathway,is_essential_in_wt
breast,PTEN,LOF,6,44,PRKCZ,-0.3011,2.517195592390518e-07,0.004071,-2.9712,0.1645,,False
breast,PTEN,LOF,6,44,PIK3CB,-0.6812,7.866236226220367e-06,0.031803,-2.625,0.1218,,False
breast,PTEN,LOF,6,44,PUSL1,-0.2705,7.866236226220367e-06,0.031803,-2.3783,-0.0708,,False
breast,PTEN,LOF,6,44,CIMAP1A,-0.2035,5.6636900828786644e-06,0.031803,-1.8785,0.1016,,False
breast,PTEN,LOF,6,44,C1orf159,-0.2739,1.0635151377849936e-05,0.034398,-1.958,0.1603,,False
breast,PTEN,LOF,6,44,DVL1,-0.291,1.8753107163309356e-05,0.050546,-2.3397,-0.0847,,False
breast,PTEN,LOF,6,44,PANK4,-0.1567,2.441679724618802e-05,0.05641,-1.9399,0.3079,,False
breast,PTEN,LOF,6,44,ZFYVE21,-0.2309,3.98975501393897e-05,0.080653,-2.0324,0.2647,,False
breast,PTEN,LOF,6,44,ACAP3,-0.3323,7.746669435581817e-05,0.096369,-2.624,0.1662,,False
breast,PTEN,LOF,6,44,SLC27A5,-0.229,6.267817025052388e-05,0.096369,-1.7081,0.1749,,False
breast,PTEN,LOF,6,44,ZNF446,-0.1824,7.746669435581817e-05,0.096369,-2.15,0.1161,,False
breast,PTEN,LOF,6,44,TERT,-0.1746,7.746669435581817e-05,0.096369,-1.0852,0.2955,,False
breast,PTEN,LOF,6,44,GNB1,-0.2862,9.521292328217132e-05,0.102652,-2.195,0.2533,,False
breast,PTEN,LOF,6,44,CLIC2,-0.179,9.521292328217132e-05,0.102652,-1.8854,0.1876,,False
breast,PTEN,LOF,6,44,MZF1,-0.384,0.00011604271680920285,0.110391,-2.3156,0.2667,,False
breast,PTEN,LOF,6,44,MIB2,-0.2325,0.00011604271680920285,0.110391,-2.1452,0.0085,,False
breast,PTEN,LOF,6,44,C1QTNF12,-0.1941,0.00016921847369845254,0.152033,-2.1241,-0.0476,,False
breast,TP53,ACT,19,25,ECPAS,-0.1753,5.099491242989648e-05,0.157092,-1.327,0.3728,,False
breast,TP53,ACT,19,25,GRTP1,-0.1696,6.19140889376762e-05,0.157092,-1.3495,0.0782,,False
breast,TP53,ACT,19,25,IRX5,-0.1651,6.816684581255657e-05,0.157092,-1.1634,0.0075,,False
breast,TP53,ACT,19,25,MCFD2,-0.1551,2.2971580530684767e-05,0.157092,-1.3984,-0.0761,,False
breast,TP53,ACT,19,25,RHOD,-0.1528,7.501106377981862e-05,0.157092,-0.9775,-0.1169,,False
breast,PTEN,LOF,6,44,ANKH,-0.3425,0.00020269717507724643,0.172527,-2.0703,0.2595,,False
breast,TP53,ACT,19,25,COQ6,-0.165,9.963073526682725e-05,0.179495,-1.3332,0.0062,,False
breast,KMT2C,LOF,7,36,MRPL50,-0.2891,2.2591777077253386e-05,0.190708,-2.0109,0.1451,,False
breast,TP53,ACT,19,25,PPIH,-0.2961,0.0002479036244301797,0.22511,-1.3015,-0.0393,,False
breast,TP53,ACT,19,25,ANKH,-0.1847,0.00027077311904159893,0.22511,-0.9977,0.0057,,False
breast,PTEN,LOF,6,44,ZNF584,-0.1738,0.0002858275595159433,0.23112,-1.6427,-0.0949,,False
breast,PTEN,LOF,6,44,ORAI3,-0.1742,0.00033686370015166106,0.236859,-1.5192,0.2193,,False
breast,PTEN,LOF,6,44,TEX22,-0.1691,0.00033686370015166106,0.236859,-1.6317,0.1246,,False
breast,PTEN,LOF,6,44,TNFRSF4,-0.1522,0.00033686370015166106,0.236859,-1.8105,0.0094,,False
