driver,partner,mode,n_mut_total,n_wt_total,L1_n_mut,L1_n_wt,L1_delta,L1_p,L1_cohens_d,L2_msipurge_p,L2_msipurge_delta,L2_msipurge_n_mut,L3_tp53_p,L3_tp53_delta,L3_tp53_n_mut,L4_loo_max_p,L4_loo_n_iter,L5_top_lineage,L5_frac_in_top,L5_within_lineage_p,L5_within_lineage_n_mut,flag_lineage_confined,flag_broadly_essential,broadly_essential_frac,survives_battery,reclassification,drug_axis,cn_event,citation,known,L1_fdr
BRCA1,PARP1,LOF,11,1103,11,1103,-0.06912540996359093,0.04214126547994152,-0.4835506351003514,0.048728552269655806,-0.07282480678114203,10,0.007838136131069444,-0.10211697096708305,11,0.09461332488298158,11,Ovarian Epithelial Tumor,0.364,1.0,4.0,False,False,0.025,True,none,parp_inhibitors,False,Farmer 2005 Nature 10.1038/nature03445; Bryant 2005 Nature 10.1038/nature03443,True,0.25284759287964914
BRCA2,PARP1,LOF,26,1033,26,1033,-0.009141337651008191,0.36722032482553124,-0.06392499070089078,0.17549432057330178,-0.02953884996668596,18,0.10265664083486065,-0.046652335387724786,18,0.49312956203745745,26,Colorectal Adenocarcinoma,0.385,0.5205211840808407,10.0,False,False,0.025,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10),parp_inhibitors,False,Bryant 2005 Nature 10.1038/nature03443,True,0.5348259135005443
PALB2,PARP1,LOF,6,1127,6,1127,-0.024129067783096952,0.3401280307949915,-0.16958204963614126,1.0,,4,0.15415360474835296,-0.05769458472280234,6,0.590955803456824,6,Colorectal Adenocarcinoma,0.333,1.0,2.0,False,False,0.025,False,primary_not_sig(p>=0.05); attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10),parp_inhibitors,False,Buisson 2010 Nat Struct Mol Biol 10.1038/nsmb.1899,True,0.5348259135005443
RAD51C,PARP1,LOF,1,1158,1,1158,,1.0,0.0,1.0,,1,1.0,,1,,0,,,,,,False,0.025,False,primary_not_sig(p>=0.05),parp_inhibitors,False,Min 2013 Mol Cancer Ther 10.1158/1535-7163.MCT-13-0290,True,1.0
ATM,ATR,LOF,18,1052,18,1052,-0.060083851334666205,0.1270657192410986,-0.22446605097362798,0.12927273526396527,-0.05981527436764589,18,0.2831330487642308,-0.04548864215067505,11,0.2220272905152993,18,Endometrial Carcinoma,0.167,1.0,3.0,False,True,0.992,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10); broadly_essential,atr_wee1,False,Reaper 2011 Nat Chem Biol 10.1038/nchembio.573,True,0.30495772617863665
ATM,PARP1,LOF,18,1052,18,1052,0.001649323371165079,0.675720191321389,0.011481169099065026,0.6710748934814965,0.0013972590850451494,18,0.6102046944948716,0.011429587532361896,11,0.8104069636423297,18,Endometrial Carcinoma,0.167,1.0,3.0,False,False,0.025,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10),parp_inhibitors,False,Weston 2010 Blood 10.1182/blood-2010-05-284984,True,0.7371492996233335
CCNE1,WEE1,ACT,8,1169,8,1169,0.06856802092361924,0.6456296897923853,0.15844839996104415,0.6529634345079898,0.07215229786410138,8,0.36632033007180165,-0.030087544326343973,6,0.8213894967590294,8,Invasive Breast Carcinoma,0.125,1.0,1.0,False,True,1.0,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10); broadly_essential,atr_wee1,True,Kok 2020 Oncogene; Chen 2018 Cancer Cell (CCNE1-amp WEE1/ATR),True,0.7371492996233335
CCNE1,ATR,ACT,8,1169,8,1169,-0.02902641241707693,0.4011194351254082,-0.10813572938754418,0.4034862518641055,-0.028615236761746488,8,0.22842800133633787,-0.08393243665043837,6,0.61726914097327,8,Invasive Breast Carcinoma,0.125,1.0,1.0,False,True,0.992,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10); broadly_essential,atr_wee1,True,Toledo 2011 Nat Struct Mol Biol 10.1038/nsmb.2189,True,0.5348259135005443
CCNE1,PKMYT1,ACT,8,1169,8,1169,-0.1849580772463224,0.0666442926739666,-0.40496963574149725,0.066739441894495,-0.18524361889935537,8,0.1876794396064445,-0.12876147632527268,6,0.1595239055481263,8,Invasive Breast Carcinoma,0.125,1.0,1.0,False,True,0.945,False,primary_not_sig(p>=0.05); attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10); broadly_essential,pkmyt1,True,Gallo 2022 Nature 10.1038/s41586-022-04638-9,True,0.2665771706958664
TP53,WEE1,LOF,164,712,164,712,-0.032230956080488316,0.21629641115836867,-0.07867586127519434,0.23428123132696582,-0.032168358490988425,161,1.0,,164,0.2529269892780923,164,Head and Neck Squamous Cell Carcinoma,0.146,0.6889804543210307,24.0,False,True,1.0,False,primary_not_sig(p>=0.05); fails_msi_purge; attenuates_in_tp53_strat; fails_leave_one_out(max_p>=0.10); broadly_essential,atr_wee1,False,Hirai 2009 Mol Cancer Ther 10.1158/1535-7163.MCT-09-0463,True,0.43259282231673735
