driver,partner,mode,n_mut_total,n_wt_total,L1_n_mut,L1_n_wt,L1_delta,L1_p,L1_cohens_d,L2_msipurge_p,L2_msipurge_delta,L2_msipurge_n_mut,L3_tp53_p,L3_tp53_delta,L3_tp53_n_mut,L4_loo_max_p,L4_loo_n_iter,L5_top_lineage,L5_frac_in_top,L5_within_lineage_p,L5_within_lineage_n_mut,flag_lineage_confined,flag_broadly_essential,broadly_essential_frac,survives_battery,reclassification,mechanism_family_expansion,L1_fdr
STAG2,STAG1,LOF,18,1138,18,1138,-0.7168020805350926,1.1359493842110012e-07,-3.0474232782313253,1.1577460949464108e-07,-0.7166443994577756,18,3.040046879196921e-06,-0.747713253997143,15,4.527369471849485e-07,18,Diffuse Glioma,0.222,1.0,4,False,False,0.056,True,none,True,4.356081493249899e-07
CDKN2A,FOSL1,LOF,43,1108,43,1108,-0.24624652462786562,2.02095115714344e-06,-0.7681046919780931,1.6532785734403555e-06,-0.25292892750926765,42,3.702804392792615e-05,-0.21007498499382793,37,5.266414259106796e-06,43,Head and Neck Squamous Cell Carcinoma,0.302,0.6301526527862252,13,False,False,0.305,True,none,True,4.186255968368554e-06
CDKN2A,EGFR,LOF,43,1108,43,1108,-0.23724634510610015,9.072138834682395e-06,-0.7235887485256806,2.4815101745172904e-06,-0.25069896709018535,42,7.835995224637467e-07,-0.2892465746544098,37,2.2719994951297885e-05,43,Head and Neck Squamous Cell Carcinoma,0.302,0.07354994143757737,13,False,False,0.19,True,none,True,1.5476001541517028e-05
CDKN2A,DNAAF10,LOF,43,1108,43,1108,-0.20086076554622412,1.3960480188967155e-05,-0.6660061011197763,4.93808685224657e-06,-0.2117583739213359,42,0.0002465877418073258,-0.19623577273051607,37,3.3920885956920525e-05,43,Head and Neck Squamous Cell Carcinoma,0.302,0.01998994843094386,13,False,True,0.835,False,broadly_essential,True,2.0242696274002373e-05
CDKN2A,TUBB4B,LOF,43,1108,43,1108,-0.2070611163955643,2.7135958863116528e-05,-0.6232229024929155,3.689333574939842e-05,-0.2102836892852702,42,0.00012695324852322803,-0.21949630106148182,37,6.559324535907063e-05,43,Head and Neck Squamous Cell Carcinoma,0.302,0.7969126697686234,13,False,False,0.262,True,none,True,3.2789283626265805e-05
CDKN2A,ITGA3,LOF,43,1108,43,1108,-0.16490456559052707,1.8105897906554217e-05,-0.7893561239508412,2.1070148391907387e-05,-0.1681617733832366,42,2.9332327893558056e-05,-0.17809274475630085,37,4.4305378073123654e-05,43,Head and Neck Squamous Cell Carcinoma,0.302,0.13187021466852206,13,False,False,0.053,True,none,True,2.5003382823336776e-05
CDKN2A,SCD,LOF,43,1108,43,1108,-0.22781475346944657,9.426963247645177e-05,-0.5194739202623077,0.0001643432786634409,-0.21746855104245477,42,0.017437850229637095,-0.12946693589973912,37,0.00020755508680541022,43,Head and Neck Squamous Cell Carcinoma,0.302,0.011744278841578389,13,False,True,0.754,False,broadly_essential,True,9.426963247645177e-05
EP300,CREBBP,LOF,68,1061,68,1061,-0.32311961496713537,1.0382313799028675e-09,-0.948191765118978,4.3124385447283957e-08,-0.2931182369868183,62,2.974675094310933e-06,-0.27432947011511816,48,2.708971924141859e-09,68,Colorectal Adenocarcinoma,0.206,0.03526686688889867,14,False,False,0.076,True,none,True,8.039069504951484e-09
EP300,OGDH,LOF,68,1061,68,1061,-0.17719292264900766,1.0653500593395361e-06,-0.6412400335569906,5.654780351595547e-05,-0.1461288930097583,62,0.008732911009545707,-0.11634603820533562,48,2.3836273616514543e-06,68,Colorectal Adenocarcinoma,0.206,0.00911759335725218,14,False,True,0.603,False,broadly_essential,True,3.0895151720846544e-06
EP300,CPOX,LOF,68,1061,68,1061,-0.16155581341915098,2.727440404712557e-06,-0.7583622873047011,2.9407704571260306e-06,-0.1730360584577676,62,1.9482062338267267e-05,-0.1949295514432638,48,6.011073205103496e-06,68,Colorectal Adenocarcinoma,0.206,0.05539428430091395,14,False,False,0.098,True,none,True,5.2730514491109434e-06
EP300,ADSL,LOF,68,1061,68,1061,-0.3312837152393866,1.0017456752548292e-05,-0.5940469384147782,0.0001950971499064285,-0.28231391704702524,62,0.003657551286893077,-0.2653965371259097,48,2.1257903023689973e-05,68,Colorectal Adenocarcinoma,0.206,0.01520088722970921,14,False,True,0.699,False,broadly_essential,True,1.613923587910558e-05
EP300,MRPL33,LOF,68,1061,68,1061,-0.2135812791710489,2.1080182548349587e-05,-0.5266266676928201,5.240149580748759e-05,-0.21428466605131608,62,0.0137554631668702,-0.13157349285953285,48,4.375561020107526e-05,68,Colorectal Adenocarcinoma,0.206,0.14863193941710767,14,False,False,0.349,True,none,True,2.6579360604440782e-05
EP300,WRN,LOF,68,1061,68,1061,-0.3675726417557968,5.098932247649917e-05,-1.2558195943005495,0.001948753288985549,-0.20886807622501605,62,5.867615136532894e-05,-0.3201844360582254,48,0.0001030874879461151,68,Colorectal Adenocarcinoma,0.206,9.133319693971368e-06,14,False,False,0.044,True,none,True,5.2810369707802706e-05
KMT2D,RAD50,LOF,69,980,69,980,-0.15089474117009458,3.4200168789633315e-09,-0.7899399076989091,1.8464866494664675e-07,-0.13218359103129507,61,6.966727044266464e-06,-0.1339157478713762,48,8.567863400406874e-09,69,Colorectal Adenocarcinoma,0.145,0.0008011539416142451,10,False,False,0.02,True,none,True,1.983609789798732e-08
KMT2D,SMARCD1,LOF,69,980,69,980,-0.1714655603365598,1.5580204121133805e-06,-0.6347925882634485,5.2063423264750805e-06,-0.18050638159695523,61,0.00029754486344245334,-0.15161020257304855,48,3.455642698965926e-06,69,Colorectal Adenocarcinoma,0.145,0.16518042400900113,10,False,False,0.158,True,none,True,3.7652159959406695e-06
KMT2D,DHX29,LOF,69,980,69,980,-0.16814556330518887,1.2516743168712035e-05,-0.5246705776639468,0.00012643659806449407,-0.151672223764233,61,0.06276410060520646,-0.06875875243229357,48,2.5589084715013808e-05,69,Colorectal Adenocarcinoma,0.145,0.010730876223378741,10,False,False,0.108,True,none,True,1.9104502731192056e-05
KMT2D,WRN,LOF,69,980,69,980,-0.42679150652425074,2.0897044205819896e-05,-1.4817064045480781,0.0034280954906284926,-0.2595572237008683,61,0.0045874458113196286,-0.3861505555185711,48,4.313148557835121e-05,69,Colorectal Adenocarcinoma,0.145,7.824783336617096e-07,10,False,False,0.044,True,none,True,2.6579360604440782e-05
