driver,mode,partner,delta,fdr,cohens_d,codep_r,pathway,broadly_ess
ARID2,LOF,LCE2B,-0.2097,0.17524,-1.042,-0.022,,0.075
ARID2,LOF,EXOSC10,-0.1875,0.19387,-0.841,-0.031,,0.652
STAG2,LOF,STAG1,-0.7168,0.00192,-3.047,-0.093,,0.056
CDKN2A,LOF,FOSL1,-0.2462,0.03367,-0.768,0.014,,0.305
CDKN2A,LOF,EGFR,-0.2372,0.03367,-0.724,0.083,,0.19
CDKN2A,LOF,DNAAF10,-0.2009,0.03367,-0.666,0.051,,0.835
CDKN2A,LOF,TUBB4B,-0.2071,0.03524,-0.623,0.008,,0.262
CDKN2A,LOF,ITGA3,-0.1649,0.03524,-0.789,0.103,,0.053
CDKN2A,LOF,SCD,-0.2278,0.06631,-0.519,-0.019,,0.754
CDKN2A,LOF,ARHGEF7,-0.2211,0.06631,-0.694,0.013,,0.207
CDKN2A,LOF,CCNC,-0.1831,0.06742,-0.565,0.035,,0.226
CDKN2A,LOF,JUNB,-0.1517,0.08106,-0.681,0.014,,0.137
CDKN2A,LOF,CFL1,-0.1945,0.11266,-0.467,0.088,,0.482
CDKN2A,LOF,CENPA,-0.1939,0.13775,-0.53,0.074,,0.882
CDKN2A,LOF,FLII,-0.1501,0.15482,-0.595,0.08,,0.171
CDKN2A,LOF,IDH3A,-0.1575,0.16485,-0.536,0.038,,0.385
CDKN2A,LOF,MYH9,-0.2055,0.20983,-0.503,-0.028,,0.415
CDKN2A,LOF,SNRPB2,-0.2607,0.21587,-0.559,-0.038,,0.66
CDKN2A,LOF,TP53,-0.2003,0.2203,-0.396,0.313,,0.003
CDKN2A,LOF,HNRNPM,-0.1824,0.2203,-0.553,0.049,,0.9
CDKN2A,LOF,ENO1,-0.1559,0.2203,-0.426,0.019,,0.361
CDKN2A,LOF,RAB35,-0.1582,0.22831,-0.662,0.025,,0.076
CDKN2A,LOF,ITGB1,-0.183,0.23775,-0.54,0.069,,0.155
CREBBP,LOF,CTPS1,-0.2449,0.18381,-0.599,0.075,,0.587
CREBBP,LOF,NAMPT,-0.2004,0.18381,-0.522,0.18,,0.296
CREBBP,LOF,AHCY,-0.1749,0.19013,-0.517,0.142,,0.459
CREBBP,LOF,CAD,-0.1863,0.19679,-0.513,0.089,,0.346
CREBBP,LOF,UMPS,-0.1994,0.20586,-0.428,0.092,,0.305
CREBBP,LOF,SDHB,-0.2107,0.22221,-0.509,0.13,,0.409
EP300,LOF,CREBBP,-0.3231,2e-05,-0.948,0.299,,0.076
EP300,LOF,OGDH,-0.1772,0.0036,-0.641,0.229,,0.603
EP300,LOF,CPOX,-0.1616,0.00658,-0.758,0.192,,0.098
EP300,LOF,ADSL,-0.3313,0.01879,-0.594,0.26,,0.699
EP300,LOF,MRPL33,-0.2136,0.02966,-0.527,0.119,,0.349
EP300,LOF,WRN,-0.3676,0.04099,-1.256,0.019,,0.044
EP300,LOF,PARS2,-0.1697,0.04668,-0.545,0.126,,0.469
EP300,LOF,SDHD,-0.153,0.05768,-0.537,0.206,,0.472
EP300,LOF,PELO,-0.2676,0.06028,-0.611,-0.015,,0.775
EP300,LOF,ZRSR2,-0.1922,0.06028,-0.526,-0.037,,0.671
EP300,LOF,HARS2,-0.1678,0.06028,-0.493,0.144,,0.273
EP300,LOF,MRPS6,-0.1524,0.06028,-0.469,0.135,,0.335
EP300,LOF,AHCY,-0.1581,0.06551,-0.471,0.204,,0.459
EP300,LOF,NAMPT,-0.1745,0.06839,-0.454,0.285,,0.296
EP300,LOF,PAICS,-0.1638,0.06965,-0.455,0.31,,0.519
EP300,LOF,KRTAP4-11,-0.2102,0.08113,-0.617,0.016,,0.358
EP300,LOF,RFK,-0.1569,0.09352,-0.522,0.189,,0.232
EP300,LOF,SCD,-0.2076,0.09648,-0.482,0.015,,0.754
EP300,LOF,MT1E,-0.1808,0.09648,-0.562,-0.028,,0.355
EP300,LOF,SDHC,-0.1716,0.09648,-0.512,0.247,,0.842
EP300,LOF,PPAT,-0.1627,0.09648,-0.482,0.227,,0.715
EP300,LOF,EIF5A,-0.1605,0.09648,-0.441,0.223,,0.906
EP300,LOF,GMPS,-0.2265,0.09917,-0.452,0.185,,0.807
EP300,LOF,PGD,-0.2295,0.09976,-0.463,0.11,,0.746
EP300,LOF,PFAS,-0.1603,0.10584,-0.452,0.22,,0.323
EP300,LOF,YRDC,-0.362,0.1069,-0.439,0.086,,0.838
EP300,LOF,TAMM41,-0.1552,0.1385,-0.372,0.086,,0.655
EP300,LOF,MAGOH,-0.1695,0.15767,-0.383,0.043,,0.869
KMT2D,LOF,RAD50,-0.1509,6e-05,-0.79,-0.067,,0.02
KMT2D,LOF,SMARCD1,-0.1715,0.00658,-0.635,-0.009,,0.158
KMT2D,LOF,DHX29,-0.1681,0.01921,-0.525,0.031,,0.108
KMT2D,LOF,WRN,-0.4268,0.02131,-1.482,0.011,,0.044
KMT2D,LOF,SDHC,-0.1939,0.03407,-0.585,0.049,,0.842
KMT2D,LOF,PELO,-0.2698,0.03507,-0.613,-0.064,,0.775
KMT2D,LOF,PTEN,-0.1932,0.0384,-0.512,-0.005,,0.007
KMT2D,LOF,RPL6,-0.3264,0.05994,-0.697,0.032,,1.0
KMT2D,LOF,AHCY,-0.1701,0.06544,-0.502,0.035,,0.459
KMT2D,LOF,KRTAP4-11,-0.1728,0.07726,-0.518,-0.013,,0.358
KMT2D,LOF,SLC7A1,-0.1545,0.081,-0.52,0.003,,0.198
KMT2D,LOF,PAICS,-0.1576,0.08596,-0.436,0.026,,0.519
KMT2D,LOF,EARS2,-0.1503,0.09218,-0.409,-0.004,,0.275
KMT2D,LOF,ADSL,-0.258,0.09465,-0.46,0.049,,0.699
KMT2D,LOF,NAMPT,-0.1594,0.1071,-0.414,0.06,,0.296
KMT2D,LOF,CFL1,-0.1772,0.10945,-0.426,0.017,,0.482
KMT2D,LOF,RPL36A,-0.3177,0.11472,-0.536,-0.056,,0.937
KMT2D,LOF,SDHB,-0.1723,0.12081,-0.419,0.076,,0.409
KMT2D,LOF,HSPA8,-0.2586,0.12375,-0.665,-0.049,,0.864
KMT2D,LOF,RPL22L1,-0.1612,0.15097,-0.751,0.031,,0.075
KMT2D,LOF,HDAC1,-0.1528,0.16423,-0.695,0.007,,0.04
KMT2D,LOF,RPL21,-0.2304,0.16798,-0.478,-0.078,,0.997
KMT2D,LOF,EP300,-0.1677,0.18121,-0.381,0.061,,0.284
KMT2D,LOF,BRD2,-0.1612,0.18121,-0.479,0.013,,0.387
SETD2,LOF,EP300,-0.424,0.15967,-0.979,-0.057,,0.284
SETD2,LOF,DPY30,-0.1824,0.17859,-0.827,-0.02,,0.285
SETD2,LOF,VPS72,-0.1504,0.17859,-0.912,0.024,,0.494
CIC,LOF,ZNF629,-0.2687,0.02048,-1.905,-0.084,,0.006
NRAS,ACT,SHOC2,-0.3842,2e-05,-1.514,0.338,,0.16
NRAS,ACT,RAF1,-0.3106,9e-05,-1.193,0.304,,0.119
NRAS,ACT,N6AMT1,-0.2001,0.09456,-0.694,0.065,,0.361
NRAS,ACT,EMC3,-0.2457,0.12781,-0.601,0.099,,0.61
NRAS,ACT,MRGBP,-0.2167,0.15287,-0.686,0.116,,0.71
NRAS,ACT,LDB1,-0.1976,0.15287,-0.688,0.119,,0.138
NRAS,ACT,MOCS3,-0.1833,0.15287,-0.688,0.083,,0.757
NRAS,ACT,MMGT1,-0.1599,0.15287,-0.585,0.106,,0.191
NRAS,ACT,TBCA,-0.2253,0.15408,-0.646,0.097,,0.872
NRAS,ACT,POT1,-0.1525,0.16318,-0.579,0.025,,0.385
NRAS,ACT,MVD,-0.1959,0.19714,-0.573,0.034,,0.485
NRAS,ACT,EIF5A,-0.2149,0.20865,-0.586,0.072,,0.906
NRAS,ACT,PMVK,-0.1748,0.21067,-0.601,0.049,,0.239
NRAS,ACT,EMC7,-0.1666,0.21067,-0.517,0.08,,0.575
NRAS,ACT,EMC6,-0.1565,0.2242,-0.578,0.09,,0.112
BRAF,ACT,MAPK1,-0.5062,0.0,-1.779,0.685,,0.143
BRAF,ACT,MAP2K1,-0.2782,0.0,-1.523,0.463,,0.034
BRAF,ACT,ELAVL1,-0.188,0.00068,-0.836,0.269,,0.183
BRAF,ACT,CYB5R4,-0.17,0.00102,-0.787,0.142,,0.143
BRAF,ACT,SYNCRIP,-0.161,0.00495,-0.705,0.12,,0.171
BRAF,ACT,PEA15,-0.2198,0.00545,-1.365,0.315,,0.016
BRAF,ACT,MITF,-0.187,0.00545,-1.021,0.358,,0.031
BRAF,ACT,MDM2,-0.353,0.00987,-0.731,0.241,,0.326
BRAF,ACT,HSPA14,-0.2094,0.0124,-0.684,0.179,,0.225
BRAF,ACT,INTS6,-0.327,0.01469,-0.483,0.159,,0.647
BRAF,ACT,DUSP4,-0.3527,0.01815,-1.315,0.497,,0.061
BRAF,ACT,PTPA,-0.2131,0.02068,-0.716,0.178,,0.569
BRAF,ACT,INTS12,-0.1666,0.02155,-0.599,0.176,,0.488
BRAF,ACT,RPL36A,-0.5453,0.03006,-0.919,-0.018,,0.937
BRAF,ACT,CCND1,-0.4451,0.03183,-0.574,0.161,,0.649
BRAF,ACT,ACLY,-0.1555,0.03688,-0.506,0.213,,0.352
BRAF,ACT,MVD,-0.1526,0.03828,-0.448,0.162,,0.485
BRAF,ACT,TIPRL,-0.1919,0.03923,-0.743,0.24,,0.302
BRAF,ACT,SCD,-0.2506,0.04088,-0.581,0.16,,0.754
BRAF,ACT,PPP6C,-0.1627,0.04344,-0.558,0.202,,0.347
BRAF,ACT,DNAJC13,-0.1628,0.04496,-0.665,0.19,,0.07
BRAF,ACT,IPO9,-0.163,0.04775,-0.553,0.165,,0.632
BRAF,ACT,PPP2R2A,-0.185,0.04943,-0.592,0.261,,0.153
BRAF,ACT,COP1,-0.1689,0.04943,-0.57,0.127,,0.231
BRAF,ACT,PPM1G,-0.1551,0.05809,-0.631,0.251,,0.124
BRAF,ACT,RPS2,-0.3938,0.06302,-1.011,0.145,,1.0
BRAF,ACT,LCMT1,-0.1779,0.06853,-0.622,0.234,,0.248
BRAF,ACT,ARF4,-0.1755,0.06853,-0.45,0.129,,0.639
BRAF,ACT,SOX9,-0.1623,0.06853,-0.592,0.316,,0.137
