driver,partner,mode,n_mut_total,n_wt_total,L1_n_mut,L1_n_wt,L1_delta,L1_p,L1_cohens_d,L2_msipurge_p,L2_msipurge_delta,L2_msipurge_n_mut,L3_tp53_p,L3_tp53_delta,L3_tp53_n_mut,L4_loo_max_p,L4_loo_n_iter,L5_top_lineage,L5_frac_in_top,L5_within_lineage_p,L5_within_lineage_n_mut,flag_lineage_confined,flag_broadly_essential,broadly_essential_frac,survives_battery,reclassification,known,L1_fdr
PTEN,MLST8,LOF,52,1095,52,1095,-0.2567291670542422,6.241339309702335e-07,-0.7987710751660848,7.811955007184651e-08,-0.28341287107357455,49,8.487995436465416e-06,-0.2619146744772893,40,1.56901024633267e-06,52,Diffuse Glioma,0.173,0.05034315535801523,9,False,False,0.434,True,none,False,2.0634059455918256e-06
PTEN,RICTOR,LOF,52,1095,52,1095,-0.1841340148564224,1.7673800762771629e-06,-0.706634227012754,2.833656183324979e-07,-0.20219667130940205,49,2.1883552501269338e-05,-0.18957907217581976,40,4.303794528093921e-06,52,Diffuse Glioma,0.173,0.11558405259460802,9,False,False,0.41,True,none,False,4.52891144546023e-06
PTEN,PARS2,LOF,52,1095,52,1095,-0.18207224488549156,1.6916725941716792e-05,-0.5887767714101212,9.572898549126368e-06,-0.19604339560471284,49,0.0003168313512435086,-0.1731752903171182,40,3.8097881445086006e-05,52,Diffuse Glioma,0.173,0.026728037205311087,9,False,False,0.469,True,none,False,3.0155902765669062e-05
PTEN,HSD17B12,LOF,52,1095,52,1095,-0.23567347590626153,7.141053039719427e-05,-0.767823312701695,6.375473971379918e-05,-0.249687161994666,49,0.000995754724077487,-0.2389717821418854,40,0.00015605471780932072,52,Diffuse Glioma,0.173,0.4083675791013307,9,False,False,0.299,True,none,False,0.00010456541951017731
PTEN,DNAJC11,LOF,52,1095,52,1095,-0.1873136589154656,5.969813427711007e-05,-0.5267465027900305,0.00024505794891837906,-0.17244323065088385,49,0.0009618001234903532,-0.1713980911343529,40,0.00012781982846642062,52,Diffuse Glioma,0.173,0.0685023857762649,9,False,True,0.607,False,broadly_essential,False,9.413936559082742e-05
PTEN,BRD2,LOF,52,1095,52,1095,-0.15988428437032848,8.112647600760369e-05,-0.4842955427400512,0.00015299010946940726,-0.1558031599456699,49,0.000629402186105276,-0.14829806884312347,40,0.00017241191305934092,52,Diffuse Glioma,0.173,0.6359369359139835,9,False,False,0.387,True,none,False,0.00011469605228661212
PTEN,MTG1,LOF,52,1095,52,1095,-0.15028159108077424,9.302267584897259e-05,-0.5916068227435881,0.0001250202811021733,-0.15682542865226765,49,0.0012659794926278552,-0.14271922472700022,40,0.00019867087664646567,52,Diffuse Glioma,0.173,0.14407925615061007,9,False,False,0.109,True,none,False,0.00012302999063896374
PTEN,MRPL21,LOF,52,1095,52,1095,-0.20874963024757087,0.00012967725900795476,-0.5989372629066932,3.0301508583058602e-05,-0.23190728803111615,49,0.014968403328684128,-0.14681105925488602,40,0.0002761904782764253,52,Diffuse Glioma,0.173,0.0913413117854387,9,False,True,0.683,False,broadly_essential,False,0.00014928404184656445
ARID1A,MRPL14,LOF,65,1061,65,1061,-0.15890004778097,1.4524698467018682e-06,-0.6250437333223255,1.9647749338704148e-05,-0.144684712456831,60,0.014280806408561792,-0.09598349218361207,43,3.294500223038089e-06,65,Ovarian Epithelial Tumor,0.154,0.006234338640228961,10,False,False,0.213,True,none,False,4.052405820202994e-06
ARID1A,WRN,LOF,65,1061,65,1061,-0.48504756889946016,2.9045065847840214e-06,-1.715182048931948,0.00011774151872455392,-0.3692046459039935,60,8.135104087685835e-06,-0.4753660696989436,43,6.492241314434497e-06,65,Ovarian Epithelial Tumor,0.154,0.20041526210945682,10,False,False,0.044,True,none,False,6.615820554230271e-06
