driver,mode,partner,delta,fdr,cohens_d,codep_r,pathway,broadly_ess,known_partner
PTEN,LOF,MLST8,-0.2567,0.00263,-0.799,-0.146,,0.434,False
PTEN,LOF,RICTOR,-0.1841,0.00597,-0.707,-0.147,,0.41,False
PTEN,LOF,PARS2,-0.1821,0.0408,-0.589,0.077,,0.469,False
PTEN,LOF,HSD17B12,-0.2357,0.08042,-0.768,0.055,,0.299,False
PTEN,LOF,DNAJC11,-0.1873,0.08042,-0.527,0.064,,0.607,False
PTEN,LOF,BRD2,-0.1599,0.08042,-0.484,0.096,,0.387,False
PTEN,LOF,MTG1,-0.1503,0.08042,-0.592,0.049,,0.109,False
PTEN,LOF,MRPL21,-0.2087,0.09519,-0.599,0.108,,0.683,False
PTEN,LOF,TWNK,-0.1644,0.11593,-0.503,0.052,,0.325,False
PTEN,LOF,MRPS25,-0.1588,0.11593,-0.557,0.096,,0.385,False
PTEN,LOF,TIMM13,-0.1559,0.11593,-0.465,0.065,,0.87,False
PTEN,LOF,TAMM41,-0.1983,0.13319,-0.473,0.005,,0.655,False
PTEN,LOF,RPL22L1,-0.1678,0.1747,-0.776,0.081,,0.075,False
PTEN,LOF,WRN,-0.333,0.19686,-1.113,0.105,,0.044,False
PTEN,LOF,PDS5A,-0.16,0.19686,-0.493,-0.018,,0.218,False
PTEN,LOF,FDXR,-0.1579,0.20177,-0.423,0.015,,0.536,False
PTEN,LOF,MRPL18,-0.1576,0.20177,-0.499,0.113,,0.352,False
PTEN,LOF,TFAM,-0.15,0.21158,-0.602,0.137,,0.614,False
PTEN,LOF,MRPL38,-0.1582,0.21184,-0.505,0.042,,0.612,False
PTEN,LOF,EARS2,-0.1504,0.23292,-0.414,0.083,,0.275,False
ARID1A,LOF,RPL6,-0.4402,0.00261,-0.964,-0.057,,1.0,False
ARID1A,LOF,MRPL14,-0.1589,0.00325,-0.625,0.043,,0.213,False
ARID1A,LOF,WRN,-0.485,0.0049,-1.715,-0.076,,0.044,False
ARID1A,LOF,RPL22L1,-0.2219,0.01026,-1.086,-0.07,,0.075,False
ARID1A,LOF,RPL23A,-0.3152,0.02962,-0.718,-0.017,,1.0,False
ARID1A,LOF,SDHC,-0.1896,0.02962,-0.566,0.052,,0.842,False
ARID1A,LOF,GMPS,-0.2552,0.02979,-0.509,0.018,,0.807,False
ARID1A,LOF,KRTAP4-11,-0.1674,0.03285,-0.49,-0.013,,0.358,False
ARID1A,LOF,ADSL,-0.2802,0.03424,-0.496,0.062,,0.699,False
ARID1A,LOF,YWHAZ,-0.1575,0.04782,-0.571,-0.099,,0.725,False
ARID1A,LOF,YRDC,-0.3805,0.05852,-0.46,0.056,,0.838,False
ARID1A,LOF,RPL35A,-0.1892,0.06274,-0.58,0.076,,1.0,False
ARID1A,LOF,BRD2,-0.1868,0.06585,-0.565,0.056,,0.387,False
ARID1A,LOF,NOP9,-0.1592,0.07076,-0.426,-0.041,,0.797,False
ARID1A,LOF,NPM1,-0.2108,0.07753,-0.5,0.082,,0.745,False
ARID1A,LOF,UQCR10,-0.1574,0.08955,-0.489,0.022,,0.195,False
ARID1A,LOF,RPL21,-0.224,0.09813,-0.468,-0.094,,0.997,False
ARID1A,LOF,PELO,-0.2679,0.09888,-0.621,-0.081,,0.775,False
ARID1A,LOF,AHCY,-0.1508,0.09928,-0.447,-0.01,,0.459,False
ARID1A,LOF,NAMPT,-0.1527,0.10171,-0.399,0.084,,0.296,False
ARID1A,LOF,UROD,-0.1647,0.11396,-0.344,0.06,,0.518,False
ARID1A,LOF,RPL36A,-0.262,0.13064,-0.439,-0.035,,0.937,False
ARID1A,LOF,UBIAD1,-0.1625,0.14129,-0.426,-0.053,,0.369,False
ARID1A,LOF,LCE1F,-0.156,0.16287,-0.467,-0.086,,0.891,False
ARID1A,LOF,PDS5A,-0.1531,0.16287,-0.469,0.002,,0.218,False
STK11,LOF,HDAC4,-0.2056,0.09299,-1.386,-0.107,,0.015,False
STK11,LOF,PIGS,-0.1643,0.22586,-1.042,0.024,,0.112,False
SMARCA4,LOF,ACSL3,-0.3009,0.01105,-0.913,0.026,,0.234,False
SMARCA4,LOF,ATP5F1C,-0.2327,0.03533,-0.815,0.115,,0.581,False
SMARCA4,LOF,GLE1,-0.1559,0.07149,-0.793,0.074,,0.735,False
SMARCA4,LOF,BORA,-0.1989,0.09477,-0.699,-0.026,,0.743,False
SMARCA4,LOF,ATP5PO,-0.1712,0.09477,-0.857,0.075,,0.248,False
SMARCA4,LOF,CIT,-0.1677,0.09477,-0.647,0.103,,0.475,False
SMARCA4,LOF,BPTF,-0.1813,0.13815,-0.637,0.043,,0.8,False
SMARCA4,LOF,DYNLL1,-0.1886,0.20192,-0.609,-0.026,,0.556,False
SMARCA4,LOF,TFAM,-0.1601,0.20232,-0.645,0.105,,0.614,False
SMARCA4,LOF,RNF8,-0.1504,0.20232,-0.606,-0.071,,0.592,False
SMARCA4,LOF,NDUFB1,-0.2826,0.20345,-0.855,-0.071,,0.673,False
SMARCA4,LOF,ITGAV,-0.2331,0.20345,-0.515,-0.131,,0.526,False
SMARCA4,LOF,DDX3X,-0.211,0.20345,-0.489,-0.011,,0.811,False
SMARCA4,LOF,NDUFAF1,-0.1542,0.214,-0.642,0.112,,0.488,False
SMARCA4,LOF,RPL23A,-0.3544,0.22048,-0.796,-0.04,,1.0,False
SMARCA4,LOF,MAD2L2,-0.1836,0.23954,-0.445,0.069,,0.816,False
VHL,LOF,PAX8,-0.564,0.04396,-1.936,-0.004,,0.072,False
RB1,LOF,E2F3,-0.3562,2e-05,-1.296,0.071,,0.126,False
RB1,LOF,YEATS2,-0.1808,0.0003,-0.863,0.011,,0.537,False
RB1,LOF,CKS1B,-0.3182,0.00161,-1.098,-0.048,,0.768,False
RB1,LOF,CCNE1,-0.1569,0.00501,-0.615,-0.222,,0.074,False
RB1,LOF,UBE2Q1,-0.1689,0.03124,-0.75,-0.059,,0.162,False
RB1,LOF,TFDP1,-0.1787,0.18934,-0.638,0.001,,0.391,False
KRAS,ACT,CTNNB1,-0.3022,0.0,-0.847,0.266,,0.104,False
KRAS,ACT,TCF7L2,-0.2137,0.0,-0.872,0.327,,0.071,False
