driver,axis_label,drug,role,direction,n_mut,n_wt,delta_ln_ic50,cohens_d,p_one_sided,p_msipurge,fdr_bh
PTEN,PI3K-beta,AZD8186,axis,sensitive,47,881,-0.4488,-0.323,0.11020981353855891,0.04397660269922357,0.6180177727152808
PTEN,PI3K-beta,Dactolisib,axis,sensitive,47,881,-0.4828,-0.339,0.014776517585802859,0.021689118670019818,0.19209472861543717
PTEN,PI3K-beta,AZD6482,axis,sensitive,14,244,-0.5399,-0.394,0.06623450187957343,0.06623450187957343,0.5740323496229697
PTEN,PI3K-beta,Buparlisib,axis,sensitive,47,881,-0.0565,-0.06,0.6333363391812761,0.6277458373216872,0.923629800516633
PTEN,PI3K-beta,Pictilisib,axis,sensitive,48,889,0.0344,0.027,0.7859850841287264,0.7220869070914799,0.9731243898736612
PTEN,PI3K-beta,Taselisib,falsification,sensitive,48,888,0.1028,0.06,0.688625545000007,0.6456569823002085,0.923629800516633
PTEN,PI3K-beta,Alpelisib,falsification,sensitive,47,888,0.5981,0.441,0.9996505425401563,0.9986223214164435,0.9996505425401563
BRCA1,PARP,Olaparib,axis,sensitive,10,892,0.105,0.08,0.5342868666752704,0.5374883064184548,0.9014445953415953
BRCA1,PARP,Niraparib,axis,sensitive,9,822,0.5835,0.382,0.8708222991509053,0.8712228956701007,0.9793795621544709
BRCA1,PARP,Talazoparib,axis,sensitive,10,881,-0.1791,-0.08,0.22790701774411587,0.22900418623368513,0.6337651524645864
BRCA1,PARP,Rucaparib,axis,sensitive,9,874,-0.3374,-0.315,0.14739883752994254,0.14695916739532472,0.6180177727152808
BRCA1,PARP,Veliparib,axis,sensitive,10,874,-0.0423,-0.046,0.5547351355948279,0.5565949496694637,0.9014445953415953
BRCA2,PARP,Olaparib,axis,sensitive,26,831,0.1723,0.132,0.6846444110338874,0.4150702606444441,0.923629800516633
BRCA2,PARP,Niraparib,axis,sensitive,24,768,0.3969,0.262,0.8725426198192201,0.9355309334707697,0.9793795621544709
BRCA2,PARP,Talazoparib,axis,sensitive,26,823,0.2141,0.097,0.4594027400876405,0.5347530835632852,0.853176517305618
BRCA2,PARP,Rucaparib,axis,sensitive,26,814,-0.1557,-0.145,0.27213151060577495,0.1543806464594129,0.6432199341591044
BRCA2,PARP,Veliparib,axis,sensitive,26,815,0.0618,0.067,0.7104844619358716,0.6622005551242637,0.923629800516633
ATM,ATR,AZD6738,axis,sensitive,18,834,-0.3017,-0.204,0.16638940034642175,0.16311985337943757,0.6180177727152808
ATM,ATR,VE-822,axis,sensitive,16,778,-0.3316,-0.184,0.16366717321656232,0.17428454471010896,0.6180177727152808
STK11,mTOR,AZD8055,axis,sensitive,13,716,0.5053,0.37,0.9280135226541075,0.9258099955016756,0.9793795621544709
STK11,mTOR,Rapamycin,axis,sensitive,16,915,-0.3214,-0.206,0.21391414882111248,0.20920620135817536,0.6337651524645864
STK11,mTOR,Temsirolimus,axis,sensitive,15,888,0.0345,0.02,0.3962568122136534,0.3990891423586683,0.7925136244273068
STK11,mTOR,Dactolisib,axis,sensitive,16,923,-0.0423,-0.03,0.3132270552909837,0.31216672253682803,0.6786586197971314
STK11,mTOR,OSI-027,axis,sensitive,16,925,0.5855,0.395,0.941711117456222,0.944264771006154,0.9793795621544709
RB1,CDK4/6,Palbociclib,axis,resistant,44,871,0.9064,0.577,3.486764903896336e-05,4.577630530368354e-05,0.0009065588750130473
RB1,CDK4/6,Ribociclib,axis,resistant,44,862,0.1631,0.14,0.2437558278709948,0.25239530806153787,0.6337651524645864
